real,imag,frequencies
3431.7099277048637,-271.4603548791982,180.41864093920736
3429.10247383923,-260.71662162219883,193.38917504552322
3426.7956262787548,-251.17655529355076,207.29217795953699
3424.746422672925,-242.80384252142727,222.19468609395216
3422.916498508859,-235.5659530023109,238.16855519761558
3421.271437286315,-229.43430686464404,255.29080682395193
3419.780175583951,-224.3843998238749,273.6439997074672
3418.4144566391706,-220.39589675088538,293.31662783900424
3417.148325839741,-217.45270230579717,314.4035471591497
3415.957661447082,-215.54301560131006,337.00643292719315
3414.8197338791356,-214.6593744106022,361.2342699709434
3413.7127869306105,-214.79869318194983,387.20387818125573
3412.6156343668385,-215.96229802491408,415.04047578504725
3411.5072653705943,-218.15596085252656,444.8782831127581
3410.366452332182,-221.3899339635141,476.86116977144644
3409.171354440792,-225.6789854926669,511.14334834401706
